The following GPUs could not be reset:
  GPU 00000000:18:00.0: Not Supported
  GPU 00000000:29:00.0: Not Supported
  GPU 00000000:3A:00.0: Not Supported
  GPU 00000000:4B:00.0: Not Supported
  GPU 00000000:9A:00.0: Not Supported
  GPU 00000000:AA:00.0: Not Supported
  GPU 00000000:BA:00.0: Not Supported
  GPU 00000000:CA:00.0: Not Supported
{'loss': 0.2932, 'grad_norm': 0.33036723732948303, 'learning_rate': 8.521458132978553e-06, 'epoch': 1.45}
{'loss': 0.3034, 'grad_norm': 0.46781760454177856, 'learning_rate': 8.502603993307647e-06, 'epoch': 1.46}
{'loss': 0.2849, 'grad_norm': 0.34587088227272034, 'learning_rate': 8.483651547556149e-06, 'epoch': 1.46}
{'loss': 0.3196, 'grad_norm': 0.34026268124580383, 'learning_rate': 8.464601327654207e-06, 'epoch': 1.47}
{'loss': 0.284, 'grad_norm': 0.3529875576496124, 'learning_rate': 8.445453868276155e-06, 'epoch': 1.48}
{'loss': 0.2765, 'grad_norm': 0.34514862298965454, 'learning_rate': 8.426209706825502e-06, 'epoch': 1.49}
{'loss': 0.2839, 'grad_norm': 0.3310925364494324, 'learning_rate': 8.406869383419854e-06, 'epoch': 1.5}
{'loss': 0.2931, 'grad_norm': 0.3925871253013611, 'learning_rate': 8.387433440875759e-06, 'epoch': 1.5}
{'loss': 0.3412, 'grad_norm': 0.42274534702301025, 'learning_rate': 8.367902424693457e-06, 'epoch': 1.51}
{'loss': 0.3233, 'grad_norm': 0.42919427156448364, 'learning_rate': 8.348276883041584e-06, 'epoch': 1.52}
{'loss': 0.3041, 'grad_norm': 0.5039160251617432, 'learning_rate': 8.328557366741782e-06, 'epoch': 1.53}
{'loss': 0.2852, 'grad_norm': 0.4285242259502411, 'learning_rate': 8.308744429253239e-06, 'epoch': 1.54}
{'loss': 0.2936, 'grad_norm': 0.33827874064445496, 'learning_rate': 8.28883862665715e-06, 'epoch': 1.54}
{'loss': 0.2902, 'grad_norm': 0.34515562653541565, 'learning_rate': 8.268840517641123e-06, 'epoch': 1.55}
{'loss': 0.2994, 'grad_norm': 0.35812273621559143, 'learning_rate': 8.248750663483487e-06, 'epoch': 1.56}
{'loss': 0.2797, 'grad_norm': 0.32473888993263245, 'learning_rate': 8.228569628037542e-06, 'epoch': 1.57}
{'loss': 0.3206, 'grad_norm': 0.3188175559043884, 'learning_rate': 8.208297977715734e-06, 'epoch': 1.58}
{'loss': 0.2972, 'grad_norm': 0.31811341643333435, 'learning_rate': 8.187936281473758e-06, 'epoch': 1.58}
{'loss': 0.3146, 'grad_norm': 0.3391292989253998, 'learning_rate': 8.167485110794591e-06, 'epoch': 1.59}
{'loss': 0.3049, 'grad_norm': 0.32891136407852173, 'learning_rate': 8.146945039672446e-06, 'epoch': 1.6}
{'loss': 0.3032, 'grad_norm': 0.3066444993019104, 'learning_rate': 8.126316644596675e-06, 'epoch': 1.61}
{'loss': 0.3487, 'grad_norm': 0.3702718913555145, 'learning_rate': 8.105600504535567e-06, 'epoch': 1.62}
{'loss': 0.3257, 'grad_norm': 0.35001447796821594, 'learning_rate': 8.084797200920128e-06, 'epoch': 1.62}
{'loss': 0.2999, 'grad_norm': 0.4679149389266968, 'learning_rate': 8.063907317627731e-06, 'epoch': 1.63}
{'loss': 0.3045, 'grad_norm': 0.31510597467422485, 'learning_rate': 8.042931440965754e-06, 'epoch': 1.64}
{'loss': 0.3142, 'grad_norm': 0.29824206233024597, 'learning_rate': 8.021870159655109e-06, 'epoch': 1.65}
{'loss': 0.3223, 'grad_norm': 0.32937702536582947, 'learning_rate': 8.000724064813725e-06, 'epoch': 1.66}
{'loss': 0.3121, 'grad_norm': 0.36699503660202026, 'learning_rate': 7.979493749939956e-06, 'epoch': 1.66}
{'loss': 0.3243, 'grad_norm': 0.36051592230796814, 'learning_rate': 7.958179810895923e-06, 'epoch': 1.67}
{'loss': 0.3145, 'grad_norm': 0.31660497188568115, 'learning_rate': 7.93678284589079e-06, 'epoch': 1.68}
{'loss': 0.2979, 'grad_norm': 0.35483887791633606, 'learning_rate': 7.915303455463978e-06, 'epoch': 1.69}
{'loss': 0.2864, 'grad_norm': 0.3157369792461395, 'learning_rate': 7.8937422424683e-06, 'epoch': 1.7}
